-47.27,-46.66,-45.96,-45.16,-44.27,-43.26,-42.13,-40.88,-39.49,-37.96,-36.28,-34.46,-32.47,-30.33,-28.04,-25.59,-22.99,-20.25,-17.37,-14.39,-11.30,-8.13,-4.90,-1.64,1.64,4.90,8.13,11.30,14.39,17.37,20.25,22.99,25.59,28.04,30.33,32.47,34.46,36.28,37.96,39.49,40.88,42.13,43.26,44.27,45.16,45.96,46.66,47.27
-48.73,-48.16,-47.51,-46.75,-45.89,-44.91,-43.80,-42.57,-41.19,-39.65,-37.97,-36.11,-34.09,-31.89,-29.52,-26.98,-24.27,-21.40,-18.39,-15.24,-11.98,-8.62,-5.20,-1.74,1.74,5.20,8.62,11.98,15.24,18.39,21.40,24.27,26.98,29.52,31.89,34.09,36.11,37.97,39.65,41.19,42.57,43.80,44.91,45.89,46.75,47.51,48.16,48.73
-50.23,-49.72,-49.11,-48.40,-47.57,-46.63,-45.56,-44.35,-42.98,-41.45,-39.76,-37.88,-35.82,-33.57,-31.12,-28.49,-25.67,-22.66,-19.50,-16.17,-12.72,-9.17,-5.53,-1.85,1.85,5.53,9.17,12.72,16.17,19.50,22.66,25.67,28.49,31.12,33.57,35.82,37.88,39.76,41.45,42.98,44.35,45.56,46.63,47.57,48.40,49.11,49.72,50.23
-51.77,-51.31,-50.76,-50.10,-49.33,-48.43,-47.40,-46.21,-44.87,-43.36,-41.66,-39.77,-37.68,-35.37,-32.86,-30.13,-27.19,-24.04,-20.71,-17.20,-13.55,-9.77,-5.90,-1.97,1.97,5.90,9.77,13.55,17.20,20.71,24.04,27.19,30.13,32.86,35.37,37.68,39.77,41.66,43.36,44.87,46.21,47.40,48.43,49.33,50.10,50.76,51.31,51.77
-53.35,-52.95,-52.45,-51.86,-51.14,-50.30,-49.31,-48.18,-46.87,-45.37,-43.69,-41.79,-39.67,-37.32,-34.74,-31.91,-28.85,-25.56,-22.05,-18.34,-14.46,-10.43,-6.30,-2.11,2.11,6.30,10.43,14.46,18.34,22.05,25.56,28.85,31.91,34.74,37.32,39.67,41.79,43.69,45.37,46.87,48.18,49.31,50.30,51.14,51.86,52.45,52.95,53.35
-54.95,-54.62,-54.19,-53.66,-53.02,-52.24,-51.31,-50.23,-48.96,-47.51,-45.84,-43.94,-41.81,-39.42,-36.77,-33.85,-30.66,-27.22,-23.52,-19.59,-15.46,-11.17,-6.75,-2.26,2.26,6.75,11.17,15.46,19.59,23.52,27.22,30.66,33.85,36.77,39.42,41.81,43.94,45.84,47.51,48.96,50.23,51.31,52.24,53.02,53.66,54.19,54.62,54.95
-56.57,-56.32,-55.97,-55.52,-54.95,-54.25,-53.39,-52.37,-51.16,-49.75,-48.12,-46.24,-44.10,-41.68,-38.97,-35.96,-32.65,-29.04,-25.14,-20.98,-16.58,-11.99,-7.26,-2.43,2.43,7.26,11.99,16.58,20.98,25.14,29.04,32.65,35.96,38.97,41.68,44.10,46.24,48.12,49.75,51.16,52.37,53.39,54.25,54.95,55.52,55.97,56.32,56.57
-58.22,-58.05,-57.78,-57.42,-56.93,-56.32,-55.55,-54.60,-53.47,-52.12,-50.53,-48.68,-46.55,-44.12,-41.36,-38.27,-34.83,-31.05,-26.94,-22.53,-17.83,-12.91,-7.82,-2.62,2.62,7.82,12.91,17.83,22.53,26.94,31.05,34.83,38.27,41.36,44.12,46.55,48.68,50.53,52.12,53.47,54.60,55.55,56.32,56.93,57.42,57.78,58.05,58.22
-59.87,-59.79,-59.62,-59.35,-58.96,-58.44,-57.77,-56.92,-55.87,-54.60,-53.08,-51.28,-49.17,-46.74,-43.94,-40.77,-37.22,-33.27,-28.94,-24.25,-19.23,-13.95,-8.45,-2.83,2.83,8.45,13.95,19.23,24.25,28.94,33.27,37.22,40.77,43.94,46.74,49.17,51.28,53.08,54.60,55.87,56.92,57.77,58.44,58.96,59.35,59.62,59.79,59.87
-61.52,-61.53,-61.47,-61.30,-61.02,-60.61,-60.05,-59.31,-58.37,-57.19,-55.76,-54.03,-51.97,-49.55,-46.74,-43.51,-39.84,-35.72,-31.15,-26.17,-20.80,-15.11,-9.17,-3.07,3.07,9.17,15.11,20.80,26.17,31.15,35.72,39.84,43.51,46.74,49.55,51.97,54.03,55.76,57.19,58.37,59.31,60.05,60.61,61.02,61.30,61.47,61.53,61.52
